date_debut,date_fin,etat_barre,etat_trafic,geo_point_2d.lat,geo_point_2d.lon,geo_shape.geometry.coordinates,geo_shape.geometry.type,geo_shape.type,iu_ac,iu_nd_amont,iu_nd_aval,k,libelle,libelle_nd_amont,libelle_nd_aval,q,t_1h
1996-10-03,2023-01-01,Invalide,Fluide,48.87130482025513,2.335747080339698,"[[2.3370518798701063, 48.871538816464614], [2.3344422808092893, 48.87107082404565]]",LineString,Feature,1951,2137,2138,2.81167,Bd_des_Italiens,Bd_des_Italiens-Taitbout,Bd_des_Italiens-Chaussee_d'Antin,548.0,2024-01-04T22:00:00+00:00
1996-10-03,2023-01-01,Invalide,Fluide,48.87130482025513,2.335747080339698,"[[2.3370518798701063, 48.871538816464614], [2.3344422808092893, 48.87107082404565]]",LineString,Feature,1951,2137,2138,2.48222,Bd_des_Italiens,Bd_des_Italiens-Taitbout,Bd_des_Italiens-Chaussee_d'Antin,514.0,2024-01-04T21:00:00+00:00
1996-10-03,2023-01-01,Invalide,Fluide,48.87130482025513,2.335747080339698,"[[2.3370518798701063, 48.871538816464614], [2.3344422808092893, 48.87107082404565]]",LineString,Feature,1951,2137,2138,4.33778,Bd_des_Italiens,Bd_des_Italiens-Taitbout,Bd_des_Italiens-Chaussee_d'Antin,746.0,2024-01-04T17:00:00+00:00
1996-10-03,2023-01-01,Invalide,Fluide,48.87130482025513,2.335747080339698,"[[2.3370518798701063, 48.871538816464614], [2.3344422808092893, 48.87107082404565]]",LineString,Feature,1951,2137,2138,4.98278,Bd_des_Italiens,Bd_des_Italiens-Taitbout,Bd_des_Italiens-Chaussee_d'Antin,755.0,2024-01-04T16:00:00+00:00
1996-10-03,2023-01-01,Invalide,Fluide,48.87130482025513,2.335747080339698,"[[2.3370518798701063, 48.871538816464614], [2.3344422808092893, 48.87107082404565]]",LineString,Feature,1951,2137,2138,4.52611,Bd_des_Italiens,Bd_des_Italiens-Taitbout,Bd_des_Italiens-Chaussee_d'Antin,758.0,2024-01-04T14:00:00+00:00
1996-10-03,2023-01-01,Invalide,Inconnu,48.87087591902754,2.33190218871428,"[[2.3318150304093743, 48.87110141457876], [2.3319893470191855, 48.87065042347631]]",LineString,Feature,1957,2142,2139,0.0,Auber,Auber-Pl_Garnier,Pl_de_l'Opera,0.0,2024-01-04T23:00:00+00:00
1996-10-03,2023-01-01,Invalide,Inconnu,48.87087591902754,2.33190218871428,"[[2.3318150304093743, 48.87110141457876], [2.3319893470191855, 48.87065042347631]]",LineString,Feature,1957,2142,2139,0.0,Auber,Auber-Pl_Garnier,Pl_de_l'Opera,0.0,2024-01-04T21:00:00+00:00
1996-10-03,2023-01-01,Invalide,Inconnu,48.87087591902754,2.33190218871428,"[[2.3318150304093743, 48.87110141457876], [2.3319893470191855, 48.87065042347631]]",LineString,Feature,1957,2142,2139,0.0,Auber,Auber-Pl_Garnier,Pl_de_l'Opera,0.0,2024-01-04T20:00:00+00:00
1996-10-03,2023-01-01,Invalide,Inconnu,48.87087591902754,2.33190218871428,"[[2.3318150304093743, 48.87110141457876], [2.3319893470191855, 48.87065042347631]]",LineString,Feature,1957,2142,2139,0.0,Auber,Auber-Pl_Garnier,Pl_de_l'Opera,0.0,2024-01-04T19:00:00+00:00
1996-10-03,2023-01-01,Invalide,Inconnu,48.87087591902754,2.33190218871428,"[[2.3318150304093743, 48.87110141457876], [2.3319893470191855, 48.87065042347631]]",LineString,Feature,1957,2142,2139,0.0,Auber,Auber-Pl_Garnier,Pl_de_l'Opera,0.0,2024-01-04T18:00:00+00:00
