iu_ac,libelle,t_1h,q,k,etat_trafic,iu_nd_amont,libelle_nd_amont,iu_nd_aval,libelle_nd_aval,etat_barre,date_debut,date_fin,geo_point_2d.lon,geo_point_2d.lat,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type,geo_point_2d,geo_shape
1951,Bd_des_Italiens,2024-01-04T17:00:00+00:00,746.0,4.33778,Fluide,2137,Bd_des_Italiens-Taitbout,2138,Bd_des_Italiens-Chaussee_d'Antin,Invalide,1996-10-03,2023-01-01,2.335747080339698,48.87130482025513,Feature,"[[2.3370518798701063, 48.871538816464614], [2.3344422808092893, 48.87107082404565]]",LineString,,
1951,Bd_des_Italiens,2024-01-04T16:00:00+00:00,755.0,4.98278,Fluide,2137,Bd_des_Italiens-Taitbout,2138,Bd_des_Italiens-Chaussee_d'Antin,Invalide,1996-10-03,2023-01-01,2.335747080339698,48.87130482025513,Feature,"[[2.3370518798701063, 48.871538816464614], [2.3344422808092893, 48.87107082404565]]",LineString,,
1951,Bd_des_Italiens,2024-01-04T14:00:00+00:00,758.0,4.52611,Fluide,2137,Bd_des_Italiens-Taitbout,2138,Bd_des_Italiens-Chaussee_d'Antin,Invalide,1996-10-03,2023-01-01,2.335747080339698,48.87130482025513,Feature,"[[2.3370518798701063, 48.871538816464614], [2.3344422808092893, 48.87107082404565]]",LineString,,
1957,Auber,2024-01-04T23:00:00+00:00,,,Inconnu,2142,Auber-Pl_Garnier,2139,Pl_de_l'Opera,Invalide,1996-10-03,2023-01-01,2.33190218871428,48.87087591902754,Feature,"[[2.3318150304093743, 48.87110141457876], [2.3319893470191855, 48.87065042347631]]",LineString,,
1957,Auber,2024-01-04T21:00:00+00:00,,,Inconnu,2142,Auber-Pl_Garnier,2139,Pl_de_l'Opera,Invalide,1996-10-03,2023-01-01,2.33190218871428,48.87087591902754,Feature,"[[2.3318150304093743, 48.87110141457876], [2.3319893470191855, 48.87065042347631]]",LineString,,
1957,Auber,2024-01-04T20:00:00+00:00,,,Inconnu,2142,Auber-Pl_Garnier,2139,Pl_de_l'Opera,Invalide,1996-10-03,2023-01-01,2.33190218871428,48.87087591902754,Feature,"[[2.3318150304093743, 48.87110141457876], [2.3319893470191855, 48.87065042347631]]",LineString,,
1957,Auber,2024-01-04T19:00:00+00:00,,,Inconnu,2142,Auber-Pl_Garnier,2139,Pl_de_l'Opera,Invalide,1996-10-03,2023-01-01,2.33190218871428,48.87087591902754,Feature,"[[2.3318150304093743, 48.87110141457876], [2.3319893470191855, 48.87065042347631]]",LineString,,
1957,Auber,2024-01-04T18:00:00+00:00,,,Inconnu,2142,Auber-Pl_Garnier,2139,Pl_de_l'Opera,Invalide,1996-10-03,2023-01-01,2.33190218871428,48.87087591902754,Feature,"[[2.3318150304093743, 48.87110141457876], [2.3319893470191855, 48.87065042347631]]",LineString,,
1957,Auber,2024-01-04T16:00:00+00:00,,,Inconnu,2142,Auber-Pl_Garnier,2139,Pl_de_l'Opera,Invalide,1996-10-03,2023-01-01,2.33190218871428,48.87087591902754,Feature,"[[2.3318150304093743, 48.87110141457876], [2.3319893470191855, 48.87065042347631]]",LineString,,
1957,Auber,2024-01-04T15:00:00+00:00,,,Inconnu,2142,Auber-Pl_Garnier,2139,Pl_de_l'Opera,Invalide,1996-10-03,2023-01-01,2.33190218871428,48.87087591902754,Feature,"[[2.3318150304093743, 48.87110141457876], [2.3319893470191855, 48.87065042347631]]",LineString,,
